Instrument,Company Name,Sector,Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
PWR.N,QUANTA SERVICES,Industrials,1,55.11000000000001,53.56999999999999,74.53999999999999,68.47999999999999,59.43000000000001
KAR.N,KAR AUCTION SER,Industrials,1,59.85,45.62,28.89,36.04,47.13
AIT.N,APPL IND TECH,Industrials,1,50.24999999999999,48.35,43.79,45.440000000000005,47.97
LYTS.OQ,LSI INDS,Industrials,2,51.910000000000004,48.35,56.66,54.7,51.849999999999994
NVT.N,NVENT ELECTRIC,Industrials,0,53.98,25.95,37.61,38.32,40.08
ALLE.N,ALLEGION PLC,Industrials,0,49.120000000000005,52.52,35.36,40.0,46.87
CSX.OQ,CSX CORPORATION,Industrials,2,53.459999999999994,67.06,46.97,50.96000000000001,56.599999999999994
AL.N,AIR LEASE CRP,Industrials,0,73.18,32.300000000000004,27.33,34.949999999999996,47.410000000000004
RSG.N,REPUBLIC SVCS,Industrials,1,54.08,45.1,42.95,44.940000000000005,48.15
TRU.N,TRANSUNION,Industrials,0,46.78,50.05,39.6,42.25,46.129999999999995
TDG.N,TRANSDIGM GROUP,Industrials,0,43.37,41.43,35.17,37.34,40.64
ROK.N,ROCKWELL AUTOMAT,Industrials,2,48.54,49.75,45.35,46.489999999999995,48.16
AIMC.OQ,ALTRA INDUS MTN,Industrials,2,51.71,50.629999999999995,52.349999999999994,52.0,51.49
EML.OQ,EASTERN CO,Industrials,1,63.65,48.35,35.5,41.65,51.25999999999999
XPO.N,XPO LOGISTICS,Industrials,0,48.55,46.239999999999995,47.910000000000004,47.75,47.58
HII.N,HUNTINGTN INGALS,Industrials,0,64.0,42.83,26.619999999999997,34.660000000000004,47.24
KAI.N,KADANT INC,Industrials,2,51.41,44.48,51.55,50.470000000000006,49.02
ASTE.OQ,ASTEC INDS INC,Industrials,2,45.23,45.96,58.60999999999999,54.71,48.83
TRNS.OQ,TRANSCAT INC,Industrials,2,48.36,48.35,58.03,55.13,50.77
AZEK.N,THE AZK CO A ORD,Industrials,2,38.76,52.49,67.71000000000001,61.08,50.8
VMI.N,VALMONT INDUSTRS,Industrials,1,52.5,48.35,58.53,56.10000000000001,52.55
OFLX.OQ,OMEGA FLEX,Industrials,2,41.31,48.35,65.33,59.18,49.78
EXPO.OQ,EXPONENT INC,Industrials,2,42.809999999999995,48.35,59.12,55.059999999999995,48.83
PH.N,PARKER-HANNIFIN,Industrials,1,52.51,71.78999999999999,47.010000000000005,51.55,57.879999999999995
LAWS.OQ,LAWSON PRODS,Industrials,0,49.62,48.35,41.06,43.43,47.03
UFPI.OQ,UFP INDUSTRS ORD,Industrials,1,61.150000000000006,49.03,46.48,49.07,53.239999999999995
APG.N,API GROUP CR ORD,Industrials,0,35.88,67.25,69.52000000000001,64.13,55.269999999999996
HTLD.OQ,HEARTLAND EXPR,Industrials,1,61.199999999999996,59.46,40.75,46.63,55.48
TBI.N,TRUEBLUE INC,Industrials,0,52.410000000000004,43.84,30.669999999999998,35.91,43.980000000000004
EME.N,EMCOR GROUP,Industrials,1,62.43,52.44,42.25,46.81,53.89000000000001
PKOH.OQ,PARK OHIO HLDGS,Industrials,0,52.33,45.48,36.57,40.27,45.989999999999995
MSA.N,MSA SAFETY INCRP,Industrials,2,46.26,48.35,53.81,51.85999999999999,48.88
ACM.N,AECOM,Industrials,2,57.3,58.379999999999995,42.95,47.42,54.09
APOG.OQ,APOGEE ENTR,Industrials,1,67.44,48.35,47.15,50.370000000000005,55.69
AJRD.N,AEROJET ROCKTDYN,Industrials,0,53.83,46.61,48.5,49.02,49.97
HUBB.N,HUBBELL INCRPRTD,Industrials,1,51.449999999999996,57.720000000000006,42.8,46.339999999999996,51.480000000000004
WTS.N,WTTS WTER TECH,Industrials,2,50.19,53.03,52.26,52.059999999999995,51.7
ECHO.OQ,ECHO GLBL LGSTCS,Industrials,2,53.89000000000001,57.97,53.1,53.949999999999996,55.120000000000005
ICFI.OQ,ICF INTL,Industrials,1,56.02,48.35,41.04,44.39,49.59
WERN.OQ,WERNER ENT,Industrials,1,66.21000000000001,59.27,47.21,51.870000000000005,59.03
ROCK.OQ,GIBRALTAR INDS,Industrials,2,50.1,48.35,71.39999999999999,64.75,54.81
TEX.N,TEREX CORP,Industrials,4,45.45,46.98,50.05,48.9,47.14
NX.N,QUANEX BUILDING,Industrials,0,57.43000000000001,43.62,52.38,51.82,51.33
EVI.A,EVI INDUSTRIES,Industrials,2,40.400000000000006,48.35,63.970000000000006,58.089999999999996,49.07
WMS.N,ADVANCED DRA SYS,Industrials,1,49.46,52.27,54.53,53.43,51.71
HLIO.OQ,HELIOS TECHN INC,Industrials,2,48.44,50.480000000000004,53.169999999999995,52.059999999999995,50.339999999999996
GBX.N,GREENBRIER CO,Industrials,1,62.19,39.0,54.7,53.47,52.2
OC.N,OWENS CORNING,Industrials,0,51.62,48.199999999999996,48.42,48.870000000000005,49.62
ARCB.OQ,ARCBEST CORP,Industrials,1,55.410000000000004,53.449999999999996,75.12,68.91000000000001,59.650000000000006
ODFL.OQ,OLD DOMINION,Industrials,2,48.25,82.5,65.13,65.2,64.46
SPXC.N,SPX Corp,Industrials,1,53.11,61.24000000000001,39.71,44.95,52.61
AGX.N,ARGAN INC,Industrials,2,46.400000000000006,48.35,50.77,49.75,48.17
HEIa.N,HEICO CORP A,Industrials,2,44.4,48.35,48.91,48.15,46.910000000000004
ULH.OQ,UNIVERSAL LO ORD,Industrials,1,66.36999999999999,48.35,43.29,47.510000000000005,54.290000000000006
FCN.N,FTI CONSULTING,Industrials,0,58.599999999999994,44.72,42.08,44.95,49.61
CLH.N,CLEAN HARBORS,Industrials,0,52.61,38.14,32.41,36.3,42.49
DE.N,DEERE & CO,Industrials,2,49.1,70.49,75.06,70.48,63.080000000000005
BV.N,BRIGHTVIEW HLDNG,Industrials,0,54.949999999999996,42.24,29.459999999999997,35.199999999999996,44.12
REVG.N,REV GROUP INC,Industrials,2,46.18,46.949999999999996,26.08,32.22,41.42
MTW.N,THE MANITWC COMP,Industrials,0,61.29,38.59,25.669999999999998,32.95,44.440000000000005
GMS.N,GMS INC,Industrials,1,59.81999999999999,44.41,39.33,43.169999999999995,49.3
ALGT.OQ,ALLEGIANT TRAVEL,Industrials,4,32.95,44.06,43.72,42.16,39.53
ACTG.OQ,ACACIA TECHS,Industrials,4,36.13,48.35,46.300000000000004,45.08,42.95
NWPX.OQ,NORTHWEST PIPE,Industrials,1,75.6,48.35,39.62,46.33,57.07
HNI.N,HNI,Industrials,1,64.1,40.550000000000004,36.54,41.28,48.97
PLPC.OQ,PREFORMED LINE,Industrials,1,76.75,48.35,47.660000000000004,52.129999999999995,59.540000000000006
FC.N,FRANKLIN COVEY,Industrials,2,40.300000000000004,57.85,28.449999999999996,34.64,43.480000000000004
SITE.N,SITEONE LANDSCPE,Industrials,2,43.54,47.599999999999994,70.37,62.93,51.67
HSII.OQ,HEIDRICK STRUGG,Industrials,0,63.5,54.25,46.0,49.86,55.88999999999999
CVLG.OQ,CVNT LGSTC A ORD,Industrials,0,59.3,48.35,46.92,48.99,52.370000000000005
WSC.OQ,WLS MBL MN A ORD,Industrials,0,44.83,41.64,52.739999999999995,49.89,45.69
WM.N,WASTE MANAGEMNT,Industrials,0,51.470000000000006,42.24,41.089999999999996,42.82,45.64
IEX.N,IDEX,Industrials,1,47.96,66.03999999999999,44.95,48.559999999999995,53.54
VSEC.OQ,VSE CORP,Industrials,1,62.660000000000004,48.35,35.099999999999994,41.22,50.760000000000005
DCO.N,DUCOMMUN INC,Industrials,0,57.45,32.31,42.22,43.01,44.84
KEX.N,KIRBY CORP,Industrials,0,58.3,36.11,22.79,30.12,41.660000000000004
IAA.N,IAA INC,Industrials,2,44.800000000000004,48.35,48.949999999999996,48.24,47.08
TTC.N,TORO CO,Industrials,1,48.42,66.36,52.68000000000001,54.09,55.76
BGSF.N,BGSF INC ORD,Industrials,0,56.489999999999995,48.35,14.879999999999999,26.14,43.24
CW.N,CURTISS-WRIGHT,Industrials,1,60.23,50.839999999999996,25.83,34.74,48.339999999999996
ROP.N,ROPER TECHNOLOGS,Industrials,0,47.46,35.15,43.37,42.75,42.13
LNN.N,LINDSAY CORP,Industrials,2,46.86,48.35,71.63000000000001,64.42,53.56999999999999
SCS.N,STEELCASE INC,Industrials,1,68.62,35.4,23.49,32.05,45.71
PRIM.OQ,PRIMORIS SVCS CP,Industrials,1,68.2,48.35,55.35,56.230000000000004,58.040000000000006
CPA.N,COPA HOLDNGS,Industrials,0,38.92,31.209999999999997,24.12,27.400000000000002,32.519999999999996
WWD.OQ,WOODWARD INC,Industrials,0,49.79,43.07,32.89,36.96,43.21
UPWK.OQ,UPWORK INC,Industrials,2,36.68,48.35,44.26,43.74,42.66
BE.N,BLOOM ENERGY CRP,Industrials,4,30.8,26.43,44.26,39.57,32.629999999999995
CARR.N,CARRR GLB CR ORD,Industrials,1,53.290000000000006,55.379999999999995,44.41,47.38,51.800000000000004
CSWI.OQ,CSW INDSTRLS INC,Industrials,4,46.27,42.11,70.76,62.79,50.93
MAXR.N,MAXAR TCHNLG ORD,Industrials,4,47.72,36.47,47.0,45.53,43.6
RUN.OQ,SUNRUN INC,Industrials,4,36.68,44.769999999999996,45.08,43.769999999999996,41.61
PNR.N,PENTAIR PLC,Industrials,1,52.07000000000001,51.62,47.19,48.58,50.690000000000005
GD.N,GENERAL DYNAMICS,Industrials,0,60.11,43.51,36.34,40.98,48.36
FBM.N^A21,,Industrials,1,56.89999999999999,48.35,40.33,44.019999999999996,49.76
JBHT.OQ,J.B. HUNT TRAN,Industrials,1,51.68000000000001,60.589999999999996,50.59,52.25,54.52
HUBG.OQ,HUB GROUP A,Industrials,0,59.46,30.680000000000003,44.01,44.330000000000005,45.519999999999996
ROLL.OQ,RBC BEARINGS,Industrials,0,47.27,45.58,41.57,43.03,45.26
CUB.N,CUBIC CORP,Industrials,0,50.78,32.629999999999995,46.03,44.73,43.24
MEG.N,MNTR ENVRMTL ORD,Industrials,4,40.43,48.35,77.14,67.31,52.38
FWRD.OQ,FORWARD AIR CP,Industrials,2,49.78,48.35,48.27,48.51,48.9
ITW.N,ILLINOIS TOOL WK,Industrials,1,48.19,56.43,44.16,46.61,50.07
MMM.N,3M COMPANY,Industrials,1,54.53,56.510000000000005,43.4,47.04,52.44
VICR.OQ,VICOR CORP,Industrials,2,38.519999999999996,53.97,83.46000000000001,72.28999999999999,55.16
UHAL.OQ,AMERCO,Industrials,1,62.7,48.35,56.36,56.11000000000001,56.089999999999996
WBT.N,WELBILT INC,Industrials,0,45.440000000000005,41.52,27.71,32.440000000000005,39.64
TNC.N,TENNANT CO,Industrials,0,53.7,48.35,36.199999999999996,40.65,47.449999999999996
MSM.N,MSC INDUSTRIAL,Industrials,1,56.730000000000004,63.57000000000001,50.970000000000006,53.73,57.69
SAIA.OQ,SAIA,Industrials,2,49.16,54.900000000000006,84.31,74.63,59.96
KSU.N,KANSAS CITY SO,Industrials,2,51.739999999999995,65.06,51.4,53.5,56.31
PLOW.N,DOUGLAS DYNMCS,Industrials,0,39.98,45.98,36.02,38.11,41.089999999999996
FAST.OQ,FASTENAL CO,Industrials,1,48.77,69.65,49.33,52.300000000000004,56.220000000000006
WCC.N,WESCO INTL,Industrials,1,58.96,42.33,41.54,44.269999999999996,48.78
CMCO.OQ,COLUMBUS MCKIN,Industrials,4,50.19,38.800000000000004,46.53,45.92,45.29
MTZ.N,MASTEC INC,Industrials,4,57.99999999999999,45.65,52.18000000000001,52.080000000000005,52.22
SRCL.OQ,STERICYCLE INC,Industrials,0,43.71,56.10000000000001,39.550000000000004,42.66,47.010000000000005
FTV.N,FORTIVE CORPORTN,Industrials,0,52.62,52.980000000000004,40.56,44.230000000000004,49.730000000000004
SPCE.N,VIRGN GLCTC HD A,Industrials,2,34.4,48.35,44.26,43.4,41.75
DXPE.OQ,DXP ENTERPRISES,Industrials,0,52.33,48.35,13.61,24.63,41.260000000000005
CR.N,CRANE CO,Industrials,1,56.48,53.75,32.59,39.35,49.55
HCSG.OQ,HEALTHCARE SVC,Industrials,2,52.410000000000004,61.309999999999995,61.73,60.27,57.85
DNB.N,DN & BRDSTRT ORD,Industrials,2,43.33,59.13,38.879999999999995,42.58,47.75
OTIS.N,OTIS WORLDWD ORD,Industrials,1,49.120000000000005,60.24,58.15,57.11000000000001,55.269999999999996
NDSN.OQ,NORDSON CP,Industrials,2,48.08,62.83,44.690000000000005,47.92,52.39
HURN.OQ,HURON CONSULTING,Industrials,0,50.14999999999999,48.35,34.01,38.58,45.48
TREX.N,TREX CMPNY,Industrials,2,42.22,87.19,85.55,79.29,68.78999999999999
FELE.OQ,FRANKLIN ELEC,Industrials,2,49.19,48.35,52.09,51.09,49.62
MYRG.OQ,MYR GROUP,Industrials,1,62.09,52.1,74.27,69.12,61.63999999999999
ALG.N,ALAMO GROUP,Industrials,1,53.12,48.35,47.949999999999996,48.78,50.14999999999999
TXT.N,TEXTRON INC,Industrials,0,54.059999999999995,45.540000000000006,36.309999999999995,40.36,46.64
UNF.N,UNIFIRST CORP,Industrials,1,53.37,46.28,45.62,46.88,48.949999999999996
ITT.N,ITT INC ORD,Industrials,1,53.6,51.910000000000004,38.57,42.83,49.25
KNX.N,KNGHT SWFT TRNSP,Industrials,1,68.57,49.53,43.37,48.08,55.61000000000001
TITN.OQ,TITAN MACHINERY,Industrials,1,55.93,48.35,63.06,59.79,55.059999999999995
FCEL.OQ,FUELCEL ENRGY IN,Industrials,2,36.21,48.35,44.26,43.669999999999995,42.47
AVAV.OQ,AEROVIRONMENT,Industrials,4,42.699999999999996,56.21000000000001,92.34,79.47,59.84
DCI.N,DONALDSON CO INC,Industrials,1,49.62,64.42,40.33,45.34,52.480000000000004
MOGa.N,MOOG INC A,Industrials,1,53.7,45.519999999999996,33.28,38.18,45.73
AAON.OQ,AAON INC,Industrials,2,44.13,48.35,67.25999999999999,60.95,51.39
TRS.OQ,TRIMAS CORP,Industrials,0,41.88,51.739999999999995,45.68,46.02,46.28
CECE.OQ,CECO ENV CORP,Industrials,1,63.0,48.35,36.68,42.38,51.29
SNA.N,SNAP-ON INC,Industrials,1,61.53999999999999,56.87,44.43,48.86,55.63
GFN.OQ,GENERAL FIN,Industrials,1,61.22,48.35,35.709999999999994,41.43,50.33
ACCO.N,ACCO BRANDS,Industrials,1,72.44,48.35,29.720000000000002,38.92,53.33
CSTE.OQ,CAESARSTONE LTD,Industrials,0,68.87,40.61,40.62,44.86,51.92
TILE.OQ,INTERFACE INC,Industrials,0,50.849999999999994,47.260000000000005,17.31,26.83,41.21
LHX.N,L3HARRIS TCH INC,Industrials,0,56.21000000000001,58.85,37.95,43.830000000000005,52.56999999999999
CRAI.OQ,CRA INTL,Industrials,1,60.23,48.65,39.269999999999996,43.82,50.94
HRI.N,HERC HOLDINGS IN,Industrials,0,62.63999999999999,40.64,42.11,44.97,49.81
WAB.N,WABTEC,Industrials,0,56.010000000000005,43.8,35.69,39.95,46.660000000000004
FDX.N,FEDEX CORP,Industrials,2,55.93,48.449999999999996,65.7,61.650000000000006,55.76
HCCI.OQ,HERITAGE-CRYSTAL,Industrials,1,62.849999999999994,48.35,29.509999999999998,37.34,49.44
RHI.N,ROB HALF INTL,Industrials,1,50.71,65.85,41.69,46.67,53.76
NSP.N,INSPERITY,Industrials,2,53.14,57.85,35.9,41.78,50.480000000000004
AXON.OQ,AXON ENTERPRISE,Industrials,4,37.16,50.96000000000001,54.08,51.07000000000001,46.22
IIIN.OQ,INSTEEL INDS,Industrials,1,60.309999999999995,48.35,51.339999999999996,52.239999999999995,53.879999999999995
CTAS.OQ,CINTAS CORP,Industrials,2,46.93,62.92,46.03,48.699999999999996,52.300000000000004
TPIC.OQ,TPI COMPOSTS INC,Industrials,2,40.21,45.09,44.26,43.78,42.93
EAF.N,GRAFTEC INTR LTD,Industrials,1,70.55,48.35,41.39,46.81,55.489999999999995
MWA.N,MUELLER WATER A,Industrials,0,56.43,48.35,39.800000000000004,43.580000000000005,49.44
BECN.OQ,BEACON ROOFING,Industrials,0,62.839999999999996,43.480000000000004,47.089999999999996,48.91,52.129999999999995
HY.N,HYSTR YL MRL HND,Industrials,2,47.96,48.35,67.22,61.5,52.910000000000004
CSL.N,CARLISLE COS INC,Industrials,1,52.410000000000004,49.94,37.169999999999995,41.370000000000005,47.73
NVEE.OQ,NV5 GLOBAL INC,Industrials,1,48.05,56.74,74.0,67.52,57.58
BLBD.OQ,BLUE BIRD CORP,Industrials,4,44.91,57.85,38.62,42.449999999999996,47.870000000000005
GLDD.OQ,GL DREDGE & DOCK,Industrials,1,66.53999999999999,48.35,57.06,57.17,57.8
WIRE.OQ,ENCORE WIRE CP,Industrials,1,61.1,48.35,43.6,46.94,52.26
DOOR.N,MASNIT INTL CORP,Industrials,1,53.86,47.620000000000005,52.790000000000006,52.18000000000001,51.41
HWM.N,HOWMET ARSPC ORD,Industrials,0,52.53,48.08,38.53,42.059999999999995,47.47
FBHS.N,FORTUNE BR HO SC,Industrials,1,54.120000000000005,54.49,48.89,50.51,52.94
TT.N,TRANE TCHNLG ORD,Industrials,2,49.75,61.01,55.74,55.64,55.19
AMWD.OQ,AMER WOODMK,Industrials,0,58.85,45.45,23.64,32.190000000000005,45.36
SHYF.OQ,THE SHYFT GR ORD,Industrials,2,50.14999999999999,55.11000000000001,69.21000000000001,64.24,56.65
HI.N,HILLENBRAND INC,Industrials,0,56.31,48.35,52.910000000000004,52.739999999999995,52.669999999999995
STRL.OQ,STERLING CONST,Industrials,1,67.86,48.35,59.260000000000005,58.91,58.879999999999995
RBC.N,REGAL BELOIT CRP,Industrials,2,55.34,50.160000000000004,57.50999999999999,56.08,54.06999999999999
SWK.N,STANLY BLK&DCKR,Industrials,0,56.54,46.97,38.519999999999996,42.49,48.68
PRLB.N,PROTO LABS INC,Industrials,2,41.75,48.35,78.96,68.78,53.36
ATKR.N,ATKORE INTRL GRP,Industrials,1,62.88,54.059999999999995,48.010000000000005,51.15,56.07
AIR.N,AAR CORP,Industrials,0,53.1,37.75,28.84,33.82,41.660000000000004
HURC.OQ,HURCO COS,Industrials,0,43.07,48.35,38.3,40.52,43.72
PSN.N,PARSONS CORPORTN,Industrials,0,52.6,47.18,35.510000000000005,39.83,46.43
OSK.N,OSHKOSH CORP,Industrials,1,59.81999999999999,70.55,37.7,45.95,58.050000000000004
GE.N,GENERAL ELEC CO,Industrials,4,32.43,45.15,40.92,40.28,39.0
KTOS.OQ,KRATOS DEFC &SEC,Industrials,4,40.88,37.13,71.7,61.9,47.27
DY.N,DYCOM INDS,Industrials,4,51.129999999999995,46.63,75.24,67.34,55.58
CWST.OQ,CASELLA WASTE,Industrials,2,43.93,49.230000000000004,50.0,48.97,47.3
ERII.OQ,ENERGY RECOVERY,Industrials,4,48.699999999999996,42.980000000000004,57.879999999999995,54.269999999999996,49.0
TRTN.N,TRITON INTERNTNL,Industrials,1,64.94,52.449999999999996,48.97,51.89,56.58
VRT.N,VERTIV HLD A ORD,Industrials,2,38.05,48.35,74.39,65.03,50.739999999999995
FLOW.N,SPX Flow Inc,Industrials,1,52.410000000000004,35.47,40.83,41.760000000000005,43.580000000000005
MLHR.OQ,HERMAN MILLER,Industrials,1,68.10000000000001,48.699999999999996,34.699999999999996,41.81,52.959999999999994
GFF.N,GRIFFON CP,Industrials,1,63.05,40.089999999999996,39.629999999999995,43.21,49.16
ETN.N,EATON CORP,Industrials,2,51.01,61.94,49.49,51.59,54.449999999999996
BRC.N,BRADY CORP,Industrials,0,56.05,43.11,37.41,41.06,46.86
SPR.N,SPIRIT AEROSY HL,Industrials,0,20.880000000000003,24.47,14.219999999999999,16.76,20.47
KBAL.OQ,KIMBALL INTERNAT,Industrials,1,67.4,48.35,25.14,34.96,50.17
SSD.N,SIMPSON MANUF,Industrials,1,55.35,60.97,43.86,48.15,54.44
LMT.N,LOCKHEED MARTIN,Industrials,3,59.57,54.92,34.4,41.25,51.65
LSTR.OQ,LANDSTAR SYS,Industrials,1,50.5,84.39,55.230000000000004,58.9,63.54
BBSI.OQ,BARRETT BUS,Industrials,1,65.21000000000001,48.35,28.060000000000002,36.68,50.019999999999996
RUSHA.OQ,RUSH ENTRPRS A,Industrials,0,57.49999999999999,35.49,54.169999999999995,51.870000000000005,48.96
GWW.N,W W GRAINGER INC,Industrials,1,52.32,72.57000000000001,43.89,49.46,57.3
VRTV.N,VERITIV CORPRATN,Industrials,0,76.82,48.35,41.85,48.07,58.10999999999999
FIX.N,COMFORT SYS USA,Industrials,1,59.550000000000004,48.35,51.85999999999999,52.49,53.71
HEI.N,HEICO CORP,Industrials,0,44.4,42.17,42.39,42.66,43.120000000000005
FSS.N,FEDERAL SIGNAL,Industrials,1,56.18,62.07,42.47,47.46,54.81
PKE.N,PARK AEROSPACE,Industrials,0,52.44,48.35,36.93,40.97,47.13
WSO.N,WATSCO INC,Industrials,1,47.57,62.36000000000001,60.69,58.98,56.03
BA.N,BOEING CO,Industrials,2,21.8,51.13999999999999,20.49,25.290000000000003,31.740000000000002
MATX.N,MATSON INC,Industrials,1,54.31,48.35,69.44,64.0,56.00000000000001
SNDR.N,SCHNEIDR NATIONL,Industrials,1,65.75999999999999,62.980000000000004,44.75,50.63999999999999,59.540000000000006
INFO.N,IHS MARKIT LTD,Industrials,2,46.739999999999995,49.35,46.989999999999995,47.31,47.72
MRTN.OQ,MARTEN TRANS,Industrials,1,62.25000000000001,48.35,48.35,50.44,53.910000000000004
CAI.N,CAI INTERNATIONL,Industrials,0,63.51,47.9,47.370000000000005,49.87,54.010000000000005
ABM.N,ABM INDS INC,Industrials,1,60.47,43.65,41.010000000000005,44.330000000000005,49.72
